species_key_lookup,scientific_name,common_name_en,common_name_de
2928809,Lycium chinense,Chinese Teaplant,Chinesischer Bocksdorn
2685484,Abies alba,Christmastree,Silbertanne
2685361,Abies grandis,Giant Fir,Küsten-Tanne
2685552,Abies nordmanniana,Caucasian Fir,Nordmann-Tanne
2685308,Abies procera,Christmastree,Edel-Tanne
3190653,Ailanthus altissima,China-sumac,Chinesischer Götterbaum
3033896,Berberis thunbergii,Japanese Barberry,Thunberg-Berberitze
2984671,Buxus sempervirens,Box,Buchs
5284702,Cedrus atlantica,Atlantic cedar,Atlaszeder
2683866,Chamaecyparis lawsoniana,Ginger Pine,Lawson-Scheinzypresse
2885576,Chrysophyllum,Goldenleaf,""
4691,Croton laccifer,Euphorbia family,Wolfsmilchgewächse
5284237,Cryptomeria japonica,Japanese Cedar,Japanische Sicheltanne
5284278,Cunninghamia lanceolata,China-fir,""
2684030,Cupressus sempervirens,Italian Cypress,Echte Zypresse
2882780,Erica excelsa,Ericas,Glockenheide
2882316,Fagus sylvatica,Beech,Blutbuche
5361909,Ficus carica,Common Fig,Essfeige
5414222,Ilex aquifolium,English holly,Europäische Stechpalme
2686157,Larix kaempferi,Japanese Larch,Japanische Laerche
3172300,Ligustrum vulgare,Common Privet,Gemeiner Liguster
3153912,Magnolia stellata,Star Magnolia,Stern-Magnolie
5284231,Metasequoia glyptostroboides,Chinese redwood,Chinesisches Rotholz
5284884,Picea abies,Common Spruce,Fichte
5285385,Pinus mugo,Dwarf Mountain-pine,Berg-Foehre
5284809,Pinus nigra,Australian pine,Schwarz-Foehre
5284982,Pinus strobus,Eastern White Pine,Strobe
3040233,Populus alba,Abbey,Silber-Pappel
8190077,Populus canadensis,Canada poplar,Bastard-Schwarz-Pappel
3040227,Populus nigra,Black Cottonwood,Schwarz-Pappel
3040249,Populus tremula,Aspen,Aspe
3020791,Prunus avium,Bird Cherry,Herzkirsche
3021496,Prunus laurocerasus,Cherry Laurel,Kirschlorbeer
3021850,Prunus serotina,Black Cherry,Herbst-Traubenkirsche
3023221,Prunus spinosa,Blackthorn,Artengruppe Schlehe
3022668,Prunus virginiana,Bitter-berry,Virginische Trauben-Kirsche
2685796,Pseudotsuga menziesii,British Columbia Fir,Douglasfichte
5362573,Pyrus communis,Common Pear,Birnbaum
6664,Salix arbutifolia,Willow Family,Weidengewächse
5372876,Salix aurita,Eared Willow,Ohr-Weide
5372952,Salix caprea,Goat Willow,Sal-Weide
5372605,Salix cinerea,Common Sallow,Artengruppe Grau-Weide
5372554,Salix hastata,Halberd Willow,Spiessblaettrige Weide
5372647,Salix pentandra,Bay Willow,Lorbeer-Weide
5372800,Salix purpurea,Basket Willow,Lamberts Weide
9148812,Salix repens,Creeping Willow,Artengruppe Kriech-Weide
5372933,Salix viminalis,Basket willow,Hanfweide
2888723,Sambucus racemosa,American red elderberry,Bergholunder
2684120,Sequoiadendron giganteum,Bigtree,Berg-Mammutbaum
3012167,Sorbus aucuparia,European Mountain-ash,Eberesche
3012567,Sorbus torminalis,Wild Service-tree,Elsbeerbaum
3190465,Staphylea calciphila,Bladdernut,Pimpernuss
2684191,Taxodium distichum,Bald Cypress,Zweizeilige Sumpfzypresse
2684171,Thuja plicata,Canoe Cedar,Riesen-Lebensbaum
9410160,Torminalis glaberrima,Wild Service-tree,""
2687182,Tsuga canadensis,Black Hemlock,Hemlocktanne
2687210,Tsuga heterophylla,Pacific hemlock,Westamerikanische Hemlocktanne
5361866,Ulmus glabra,Broadleaf Elm,Berg-Ulme
7303616,Ulmus laevis,European White Elm,Bast-Ruester
5361865,Ulmus minor,Common Elm,Artengruppe Feld-Ulme
2888615,Viburnum lantana,Mealytree,Kleiner Mehlbaum
2888605,Viburnum opulus,Crampbark,Gemeiner Schneeball
7262908,Acer cappadocicum,Cappadocian Maple,Kolchischer Ahorn
2888323,Clethra alnifolia,Coastal Sweet Pepperbush,Erlenblättrige Zimterle
10792217,Ilex macrophylla,Holly,Stechpalmen
8149923,Prunus persica,Peach,""
5362445,Pyrus pyraster,Wild Pear,Holzbirne
5372639,Salix babylonica,Babylon Weeping Willow,(Echte) Trauerweide
5372875,Salix myrsinifolia,Blueberry Willow,Schwarz-Weide
2396,Citrus polyandra,Buchu Family,Rautengewächse
1879522,Eudonia laetella,"",""
2684865,Athrotaxis selaginoides,King Billy,""
2775619,Yucca gloriosa,Adam's Leedle,Kerzen-Palmlilie
2874199,Passiflora caerulea,Blue Passionflower,blaue Passionsblume
2876571,Alnus pubescens,"",""
2888585,Viburnum tinus,Laurestine,Lorbeer-Schneeball
2888636,Symphoricarpos orbiculatus,Buck Brush,Korallenbeere
2925562,Vitex agnus-castus,Chaste Tree,Keuschstrauch
2926992,Salvia hispanica,Chia,""
2927000,Salvia sclarea,Clary,Muskateller-Salbei
2928598,Ipomoea indica,Oceanblue Morningglory,indische Prunkwinde
2928835,Lycium barbarum,Barbary Matrimony-vine,Bocksdorn
2965331,Medicago varia,Sand Lucerne,Bastard-Luzerne
2984492,Celtis australis,European Hackberry,"Südlicher Zürgelbaum, Europäischer Z."
2986129,Ribes spicatum,Downy Currant,nordische Johannisbeere
2986131,Ribes multiflorum,manyflower currant,Troddel-Johannisbeere
3001270,Malus purpurea,Purple crab apple,""
3020871,Prunus lusitanica,Portugal Laurel,Portugiesischer Kirschlorbeer
3020980,Prunus amygdalus,Almond,Mandelbaum
3025093,Chamaemespilus alpina,"",""
3025858,Cotoneaster ambiguus,Ambiguous Cotoneaster,Zweifelhafte Zwergmispel
3026454,Spiraea salicifolia,Bridal-spray,Weidenblaettriger Spierstrauch
3035369,Eleutherococcus senticosus,Devil's Bush,Stachelpanax
3054287,Carya illinoiensis,Caryer,Hickory
3054302,Carya alba,Mockernut Hickory,""
3054325,Carya glabra,Common hickory,Ferkelnuß
3083932,Chenopodium vulvaria,Fish Guts Plant,Stink-Gänsefuß
3152377,Malva verticillata,Chinese Mallow,Krause Malve
3152873,Liriodendron chinense,Chinese Tulip Tree,Chinesischer Tulpenbaum
3169169,Celastrus orbiculatus,Asian Bittersweet,Rundblaettriger Baumwuerger
3172054,Veronica fruticans,Rock Speedwell,Felsen-Ehrenpreis
3172074,Veronica polita,Elegant speedwell,Glaenzender Ehrenpreis
3172104,Veronica peregrina,American Speedwell,Drüsen-Fremd-Ehrenpreis
3172116,Veronica verna,Spring Speedwell,Fruehlings-Ehrenpreis
3172119,Veronica triphyllos,Finger speedwell,Dreiblättriger Ehrenpreis
3172347,Fraxinus ornus,Manna Ash,Blumen-Esche
3189828,Aesculus parviflora,Bottlebrush Buckeye,Flaschenbürstenkastanie
3190522,Cotinus coggygria,European Smoketree,Europäischer Perückenstrauch
3645663,Hydrangea aspera,rough-leaf hydrangea,raue Hortensie
3702531,Hamamelis intermedia,"",""
3855595,Symphoricarpos chenaultii,Chenault coralberry,Bastard-Korallenbeere
3935079,Malva arborea,Tree Mallow,Baum-Malve
3940394,Malva tournefortiana,"",""
3940423,Malva thuringiaca,Eastern Tree-mallow,Thüringer Strauchpappel
5331629,Betula humilis,Shrubby Birch,Niedrige Birke
5352221,Robinia hispida,Bristly Locust,""
5353590,Cercis siliquastrum,Judas Tree,Gewöhnlicher Judasbaum
5356805,Cytisus nigricans,Black Broom,Schwarzwerdender Geissklee
5361889,Morus alba,Asian Mulberry,Weisser Maulbeerbaum
5361944,Broussonetia papyrifera,Paper Mulberry,Papiermaulbeerbaum
5384038,Opuntia phaeacantha,Brown-spined Prickly-pear,Mattstacheliger Feigenkaktus
5384047,Opuntia humifusa,Creeping prickly-pear,Gemeine Opuntie
5384064,Opuntia ficus-indica,Barbary fig,Feigenkaktus
5414540,Swertia perennis,Alpinebog Swertia,Blauer Sumpfstern
5420901,Punica granatum,Pomegranate,Granatapfel
7102937,Euonymus japonicus,Evergreen Spindle,Japanisches Pfaffenhuetchen
7266360,Populus lasiocarpa,Chinese necklace poplar,Großblatt-Pappel
7433196,Euonymus latifolius,Large-Leaved Spindle,Breitblaettriger Spindelstrauch
8956987,Alnus alnobetula,European Green Alder,Alpen-Erle
9508936,Karpatiosorbus meyeri,"",""
6688,Cinnamomum cassia,Bay Family,Lorbeergewächse
3172297,Ligustrum lucidum,Broadleaf Privet,Baum-Liguster
3153837,Magnolia acuminata,Cucumber-tree,Gelbblütige Gurken-Magnolien
5284827,Picea sitchensis,Sitka Spruce,Sitka-Fichte
5285053,Pinus ponderosa,Bull Pine,Gelb-Kiefer
5285332,Pinus uncinata,Mountain Pine,Aufrechte Bergföhre
3040184,Populus balsamifera,Balsam Poplar,Balsam-Pappel
3032442,Rhodotypos scandens,Black Jetbead,Scheinkerrie
5583213,Salix appendiculata,"",Artengruppe Großblättrige Weide
5373055,Salix bebbiana,Aridland willow,""
9153437,Salix daphnoides,European Violet-Willow,Reif-Weide
5372655,Salix eleagnos,Bitter Willow,Lavendel-Weide
5372829,Salix fragilis,Brittle Willow,Bruch-Weide
7266759,Salix starkeana,Bebb willow,Bleiche Weide
2683909,Sequoia sempervirens,California Redwood,Küstenmammutbaum
2684178,Thuja occidentalis,American Arbor-Vitae,Abendländischer Lebensbaum
9573476,Aria danubialis,"",""
8317978,Arctostaphylos alpinus,Alpine Bearberry,Alpen-Baerentraube
9413479,Atadinus pumilus,,
5332004,Betula nana,Arctic dwarf birch,Zwerg-Birke
3082270,Cornus canadensis,Bunchberry,Kanadischer Hartriegel
1879534,Eudonia murana,Moorland Grey,
1879567,Eudonia petrophila,,
7601217,Kalmia procumbens,,
7481528,Portulacaria fruticulosa,Dwarf Porkbush,
2407,Rhamnus alpina,Blinkblaars and Dogwoods,Kreuzdorngewächse
2988765,Rubus nemorosus,,Hain-Haselblatt-Brombeere
3105650,Sonchus palustris,Marsh Sow-thistle,Sumpf-Gaensedistel
3105729,Sonchus pendulus,,
2882849,Vaccinium corymbosum,American Blueberry,Amerikanische Blaubeere
1852751,Blastobasis phycidella,Hampshire Dowd,Graue Nadelwaldmotte
1879703,Eudonia sudetica,,Kleiner Alpen-Mooszünsler
2684410,Juniperus horizontalis,American Savin,Kriech-Wacholder
2876176,Alnus rubra,Oregon alder,
2882486,Arctostaphylos spec,Bearberries,Bärentraube
2928589,Ipomoea tricolor,Garden Morning Glory,Himmelblaue Prunkwinde
2928775,Nicotiana rustica,Aztec Tobacco,Bauern-Tabak
2963817,Lupinus luteus,Annual Yellow-lupin,Gelbe Lupine
2977323,Wisteria floribunda,"Common Wisteria, Japanese Wisteria",Japanische Wisteria
2984372,Neraudia ovata,Big Island Ma'oloa,
3013688,Crataegus macrocarpa,,Großfrüchtiger Weißdorn
3013800,Crataegus media,intermediate hawthorn,Mittlerer Weißdorn
3025770,Cotoneaster acutifolius,Ampfield Cotoneaster,Peking-Zwergmispel
3026406,Spiraea chamaedryfolia,Elm-Leaved Spiraea,Gamander-Spierstrauch
3033898,Berberis ottawensis,Ottawa Barberry,
3083903,Chenopodium opulifolium,Broad-Leaved Goosefoot,Schneeball-Gänsefuß
3083905,Chenopodium suecicum,Swedish Goosefoot,Grüner Gänsefuß
3085191,Celosia argentea,Cockscomb,Hahnenkamm
3169120,Euonymus alatus,Burning Bush,Flügel-Spindelstrauch
3172050,Veronica alpina,Alpine Speedwell,Alpen-Ehrenpreis
3172053,Veronica dillenii,Dillenius' Speedwell,Dillenius' Ehrenpreis
3172071,Veronica opaca,Broadsepal Speedwell,Glanzloser Ehrenpreis
3189530,Hypericum majus,Greater Canadian St. John's-wort,Grosses Johanniskraut
5331779,Betula alleghaniensis,Gray birch,Gelb-Birke
5380041,Ricinus communis,Castor,Palma Christi
8093727,Amelanchier embergeri,,Emberger-Felsenbirne
9312105,Hedlundia mougeotii,Mougeot's Whitebeam,Berg-Mehlbeerbaum
9384949,Karpatiosorbus badensis,,
9394023,Karpatiosorbus hoppeana,,
9447396,Hedlundia pulchra,,Gößweinsteiner Mehlbeere
9453938,Aria collina,,Hügel-Mehlbeere
9477048,Hedlundia pseudothuringiaca,,Hersbrucker Mehlbeere
9517201,Karpatiosorbus meierottii,,
9527019,Karpatiosorbus franconica,,
9565114,Karpatiosorbus eystettensis,,
5354707,Cytisus striatus,Hairy Fruited Broom,Gestreifter Ginster
5285134,Pinus cembra,Arolla Pine,Arve
2995779,Rubus bifrons,European Blackberry,Zweifarbige Brombeere
5583850,Salix glabra,Glabrous willow,Kahle Weide
7482782,Salix myrtilloides,Swamp Willow,Heidelbeer-Weide
5284682,Cedrus libani,Cedar of Lebanon,
5333410,Erica arborea,Tree Heath,
7946667,Erica scoparia,besom heath,Besenheide
5285533,Pinus banksiana,Banksian Pine,Banks Kiefer
3040215,Populus tremuloides,American Aspen,amerikanische Espe
