"level3_species","species_key","de_observations","common_name_en"
"Veronica opaca",3172071,2,"Broadsepal Speedwell"
"Vitex agnus-castus",2925562,2,"Chaste Tree"
"Wisteria floribunda",2977323,2,"Common Wisteria, Japanese Wisteria"
"Yucca filamentosa",2775561,2,"Adam's Needle"
"Yucca gloriosa",2775619,2,"Adam's Leedle"
"Acer cappadocicum",7262908,1,"Cappadocian Maple"
"Acer griseum",3768452,1,"Chinese Paperbark Maple"
"Acer monspessulanum",7262958,1,"Montpellier Maple"
"Acer negundo",3189866,1,"Ash-leaf Maple"
"Acer platanoides",3189846,1,NA
"Aesculus glabra",3189806,1,"American Buckeye"
"Alnus cordata",2876607,1,"Alder of Corsica"
"Asimina spec",3158021,1,"Paw Paws"
"Athrotaxis selaginoides",2684865,1,"King Billy"
"Betula alleghaniensis",5331779,1,"Gray birch"
"Betula papyrifera",5332120,1,"American white birch"
"Brugmansia suaveolens",5341758,1,"Angel's tears"
"Calycanthus floridus",3034113,1,"Carolina Allspice"
"Carya alba",3054302,1,"Mockernut Hickory"
"Carya illinoiensis",3054287,1,"Caryer"
"Cedrus libani",5284682,1,"Cedar of Lebanon"
"Celtis occidentalis",2984481,1,"American Hackberry"
"Chamaerops humilis",2736625,1,"Dwarf Fan Palm"
"Chenopodium berlandieri",3083920,1,"Berlandier's goosefoot"
"Chenopodium suecicum",3083905,1,"Swedish Goosefoot"
"Chrysophyllum",2885576,1,"Goldenleaf"
"Cinnamomum cassia",6688,1,"Bay Family"
"Clerodendrum trichotomum",2925366,1,"Chance Tree"
"Colotis euippe",1920370,1,"Round Winged Orange Tip"
"Cornus kousa",3082274,1,"Chinese Dogwood"
"Crataegus azarolus",3013739,1,"Azarole"
"Crataegus coccinea",7790614,1,"Pear-Fruited Cockspur-Thorn"
"Crataegus macrocarpa",3013688,1,NA
"Cunninghamia lanceolata",5284278,1,"China-fir"
"Cytisus villosus",5354639,1,"Hairybroom"
"Eleutherococcus senticosus",3035369,1,"Devil's Bush"
"Erica arborea",5333410,1,"Tree Heath"
"Erica scoparia",7946667,1,"besom heath"
"Euonymus japonicus",7102937,1,"Evergreen Spindle"
"Fraxinus angustifolia",7325877,1,"Algerian Ash"
"Hamamelis intermedia",3702531,1,NA
"Hamamelis virginiana",3152827,1,"American Witchhazel"
"Hedlundia hybrida",9245228,1,"Finnish Whitebeam"
"Hedlundia pulchra",9447396,1,NA
"Hedlundia thuringiaca",9471386,1,NA
"Hydrangea aspera",3645663,1,"rough-leaf hydrangea"
"Hydrangea quercifolia",2985993,1,"oak-leaf hydrangea"
"Hypericum majus",3189530,1,"Greater Canadian St. John's-wort"
"Ipomoea indica",2928598,1,"Oceanblue Morningglory"
"Ipomoea tricolor",2928589,1,"Garden Morning Glory"
"Juniperus horizontalis",2684410,1,"American Savin"
"Juniperus squamata",2684690,1,"Flaky Juniper"
"Karpatiosorbus badensis",9384949,1,NA
"Karpatiosorbus franconica",9527019,1,NA
"Karpatiosorbus hybrida",9478021,1,"Whitebeam [Sorbus decipiens]"
"Karpatiosorbus meierottii",9517201,1,NA
"Laburnum alpinum",5356343,1,"Alpine Laburnum"
"Ligustrum lucidum",3172297,1,"Broadleaf Privet"
"Liquidambar orientalis",3152825,1,"Oriental Sweetgum"
"Liriodendron chinense",3152873,1,"Chinese Tulip Tree"
"Lonicera maackii",7902463,1,"Amur Honeysuckle"
"Magnolia acuminata",3153837,1,"Cucumber-tree"
"Magnolia soulangeana",7925303,1,"Chinese magnolia"
"Magnolia stellata",3153912,1,"Star Magnolia"
"Mahonia japonica",7828251,1,"Japanese ashberry"
"Mahonia repens",3033850,1,"Oregon barberry"
"Malus prunifolia",3001157,1,"Chinese Apple"
"Malva pusilla",3152372,1,"Dwarf Mallow"
"Malva tournefortiana",3940394,1,NA
"Neraudia ovata",2984372,1,"Big Island Ma'oloa"
"Nothofagus obliqua",2874984,1,"roble beech"
"Ocimum basilicum",2927096,1,"Basil"
"Oxalis montana",2891760,1,"American wood-sorrel"
"Passiflora caerulea",2874199,1,"Blue Passionflower"
"Pieris japonica",2882631,1,"Heath"
"Pinus banksiana",5285533,1,"Banksian Pine"
"Planchonella eerwah",5334125,1,"shiny-leaf coondoo"
"Platycladus orientalis",2684855,1,"Chinese Thuja"
"Populus lasiocarpa",7266360,1,"Chinese necklace poplar"
"Populus tremuloides",3040215,1,"American Aspen"
"Portulacaria fruticulosa",7481528,1,"Dwarf Porkbush"
"Prunus incisa",3021955,1,"Fuji Cherry"
"Prunus subhirtella",3021229,1,"Higan cherry"
"Prunus triloba",3023130,1,"Flowering plum"
"Quercus rubra",2880539,1,"Northern Red Oak"
"Rehdera trinervis",7297561,1,NA
"Robinia hispida",5352221,1,"Bristly Locust"
"Rubus nemorosus",2988765,1,NA
